epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,63.6294,0.85753,1.07298,0.47569,0.00209,0.09347,0.94906,0.84978,0.9362,0.70803,0.92276,0.88025,0.93808,0.66453,0.9079,0.84668,0.46206,0.00447,0,0.0018614,0.0018614,0.0018614
44,65.1263,0.91528,0.87562,0.46515,0.00273,0.15327,0.91879,0.8807,0.93395,0.7065,0.92977,0.89123,0.95136,0.66969,0.90064,0.86227,0.42665,0.00451,0,0.0018581,0.0018581,0.0018581
45,66.5866,0.91294,0.94938,0.46789,0.00256,0.17749,0.91879,0.8807,0.93395,0.7065,0.92977,0.89123,0.95136,0.66969,0.90064,0.86227,0.42665,0.00451,0,0.0018548,0.0018548,0.0018548
46,68.1447,0.8814,0.97939,0.43783,0.00239,0.17017,0.95408,0.8807,0.94386,0.71868,0.96189,0.88772,0.95425,0.66716,0.85898,0.84159,0.41066,0.00419,0,0.0018515,0.0018515,0.0018515
47,69.6091,0.83634,0.94005,0.4479,0.00237,0.32886,0.9439,0.88552,0.94393,0.71708,0.95872,0.89638,0.95755,0.66915,0.86531,0.88796,0.42735,0.0043,0,0.0018482,0.0018482,0.0018482
48,71.2652,0.76523,0.79212,0.39766,0.00249,0.1173,0.9439,0.88552,0.94393,0.71708,0.95872,0.89638,0.95755,0.66915,0.86531,0.88796,0.42735,0.0043,0,0.0018449,0.0018449,0.0018449
49,72.771,0.81469,0.802,0.41812,0.00243,0.17755,0.93773,0.89827,0.94467,0.70818,0.94872,0.90879,0.95881,0.66974,0.90387,0.97966,0.43055,0.00451,0,0.0018416,0.0018416,0.0018416
50,74.1456,0.77257,0.74606,0.40162,0.0025,0.17842,0.94319,0.87381,0.92607,0.67898,0.95917,0.89825,0.94965,0.66769,0.94148,1.03556,0.52328,0.00507,0,0.0018383,0.0018383,0.0018383
51,75.7256,0.79947,0.79292,0.44971,0.00222,0.19653,0.93172,0.86178,0.92119,0.65535,0.95827,0.88621,0.94839,0.66675,1.00312,1.01028,0.57778,0.00559,0,0.001835,0.001835,0.001835
52,77.1275,0.79313,0.78765,0.39825,0.00233,0.13367,0.93172,0.86178,0.92119,0.65535,0.95827,0.88621,0.94839,0.66675,1.00312,1.01028,0.57778,0.00559,0,0.0018317,0.0018317,0.0018317
53,78.6518,0.7486,0.72038,0.42527,0.00285,0.17842,0.92146,0.86448,0.9198,0.6502,0.93783,0.89984,0.95157,0.66175,1.01035,1.03985,0.57204,0.00536,0,0.0018284,0.0018284,0.0018284
54,80.0899,0.78573,0.89907,0.42341,0.00195,0.08237,0.91792,0.86323,0.91773,0.65312,0.93461,0.90526,0.95343,0.66328,1.02412,1.33648,0.60032,0.00532,0,0.0018251,0.0018251,0.0018251
55,81.5379,0.79856,0.90211,0.40653,0.00212,0.07382,0.91792,0.86323,0.91773,0.65312,0.93461,0.90526,0.95343,0.66328,1.02412,1.33648,0.60032,0.00532,0,0.0018218,0.0018218,0.0018218
56,82.9836,0.78197,0.77341,0.38718,0.00244,0.15448,0.92063,0.85471,0.9091,0.66273,0.93542,0.91486,0.95837,0.67019,0.98586,1.2982,0.63365,0.00482,0,0.0018185,0.0018185,0.0018185
57,84.5364,0.82378,0.86057,0.45257,0.00234,0.50561,0.89388,0.8807,0.91094,0.66373,0.937,0.92281,0.96183,0.6701,0.97656,1.43105,0.62784,0.00468,0,0.0018152,0.0018152,0.0018152
58,85.9735,0.68634,0.58294,0.38677,0.00213,0.08904,0.89188,0.86836,0.908,0.66298,0.9423,0.9169,0.96041,0.67462,0.97335,1.6051,0.64604,0.00468,0,0.0018119,0.0018119,0.0018119
59,87.4678,0.82538,0.89347,0.4597,0.00257,0.14299,0.89188,0.86836,0.908,0.66298,0.9423,0.9169,0.96041,0.67462,0.97335,1.6051,0.64604,0.00468,0,0.0018086,0.0018086,0.0018086
60,88.8693,0.80712,0.79899,0.41025,0.00234,0.3755,0.89254,0.87719,0.91002,0.68161,0.93205,0.91443,0.961,0.67437,0.93464,1.3793,0.57969,0.00447,0,0.0018053,0.0018053,0.0018053
61,90.2843,0.73236,0.77101,0.39139,0.00196,0.21098,0.89807,0.87018,0.91445,0.68736,0.93791,0.90877,0.9586,0.66493,0.90793,1.27079,0.57201,0.00438,0,0.001802,0.001802,0.001802
62,91.6728,0.79196,0.82187,0.39253,0.00234,0.41179,0.89807,0.87018,0.91445,0.68736,0.93791,0.90877,0.9586,0.66493,0.90793,1.27079,0.57201,0.00438,0,0.0017987,0.0017987,0.0017987
63,93.2347,0.78766,0.79462,0.38462,0.00224,0.08915,0.9043,0.8807,0.92737,0.69749,0.93547,0.91561,0.95911,0.66653,0.89149,1.26319,0.5559,0.00429,0,0.0017954,0.0017954,0.0017954
64,94.7827,0.74078,0.73482,0.39123,0.00209,0.14889,0.93068,0.88421,0.92602,0.70875,0.94251,0.92039,0.95596,0.66276,0.86418,1.00223,0.48253,0.00403,0,0.0017921,0.0017921,0.0017921
65,96.1895,0.76126,0.77165,0.36727,0.00204,0.11988,0.90942,0.90175,0.93411,0.71778,0.93613,0.92571,0.95549,0.66527,0.86089,0.99364,0.49074,0.00403,0,0.0017888,0.0017888,0.0017888
66,97.5758,0.74577,0.75312,0.39016,0.00247,0.21358,0.90942,0.90175,0.93411,0.71778,0.93613,0.92571,0.95549,0.66527,0.86089,0.99364,0.49074,0.00403,0,0.0017855,0.0017855,0.0017855
67,99.1212,0.71671,0.74642,0.35488,0.00201,0.2687,0.90536,0.90633,0.93428,0.72039,0.92983,0.92985,0.95667,0.66603,0.86859,0.97303,0.46834,0.00388,0,0.0017822,0.0017822,0.0017822
68,100.568,0.77801,0.81677,0.38212,0.0023,0.1583,0.90295,0.8814,0.91951,0.69465,0.94614,0.92452,0.96133,0.67291,0.91256,1.26183,0.52807,0.00403,0,0.0017789,0.0017789,0.0017789
69,101.951,0.79406,0.77199,0.46973,0.00234,0.42472,0.90295,0.8814,0.91951,0.69465,0.94614,0.92452,0.96133,0.67291,0.91256,1.26183,0.52807,0.00403,0,0.0017756,0.0017756,0.0017756
70,103.394,0.71577,0.79752,0.40652,0.00222,0.15238,0.91485,0.85614,0.90979,0.67513,0.93238,0.91922,0.96039,0.66502,0.93165,1.27761,0.56142,0.00409,0,0.0017723,0.0017723,0.0017723
71,105.022,0.72828,0.84894,0.44237,0.00381,0.52604,0.92852,0.83509,0.91056,0.6589,0.92275,0.92207,0.96044,0.66202,0.97043,1.42882,0.58506,0.00437,0,0.001769,0.001769,0.001769
72,106.461,0.72583,0.71536,0.36158,0.00201,0.21182,0.90987,0.85263,0.9082,0.65218,0.95518,0.89474,0.96043,0.65075,0.98165,1.16634,0.61369,0.00447,0,0.0017657,0.0017657,0.0017657
73,107.86,0.80828,0.76272,0.41085,0.00261,0.24253,0.90987,0.85263,0.9082,0.65218,0.95518,0.89474,0.96043,0.65075,0.98165,1.16634,0.61369,0.00447,0,0.0017624,0.0017624,0.0017624
74,109.267,0.75104,0.84261,0.38509,0.00206,0.17811,0.9028,0.85614,0.89989,0.66215,0.94848,0.90437,0.96006,0.64776,0.9572,1.39239,0.60433,0.00436,0,0.0017591,0.0017591,0.0017591
75,110.898,0.72859,0.71356,0.37313,0.00236,0.18017,0.93409,0.84533,0.90547,0.67531,0.94773,0.89474,0.95972,0.64892,0.92997,1.30488,0.57303,0.00416,0,0.0017558,0.0017558,0.0017558
76,112.279,0.76227,0.96347,0.41387,0.00209,0.10861,0.93409,0.84533,0.90547,0.67531,0.94773,0.89474,0.95972,0.64892,0.92997,1.30488,0.57303,0.00416,0,0.0017525,0.0017525,0.0017525
77,113.587,0.77293,0.71025,0.43948,0.00261,0.17763,0.92505,0.82278,0.90118,0.66849,0.93757,0.89578,0.95366,0.64755,0.93786,1.33362,0.63279,0.00433,0,0.0017492,0.0017492,0.0017492
78,114.991,0.78736,0.76988,0.42827,0.00267,0.20286,0.91692,0.8386,0.89717,0.66996,0.92324,0.90175,0.94594,0.64361,0.93121,1.36333,0.58967,0.00439,0,0.0017459,0.0017459,0.0017459
79,116.404,0.69475,0.71648,0.3577,0.00228,0.08841,0.90774,0.87368,0.90749,0.67726,0.90209,0.92632,0.94855,0.64203,0.91072,0.95119,0.58225,0.00436,0,0.0017426,0.0017426,0.0017426
80,117.926,0.83738,0.77759,0.48079,0.00233,0.18139,0.90774,0.87368,0.90749,0.67726,0.90209,0.92632,0.94855,0.64203,0.91072,0.95119,0.58225,0.00436,0,0.0017393,0.0017393,0.0017393
81,119.664,0.70771,0.68868,0.35661,0.00272,0.09595,0.90928,0.87018,0.90784,0.67919,0.9245,0.90233,0.9491,0.63823,0.89758,0.83878,0.52447,0.00424,0,0.001736,0.001736,0.001736
82,121.055,0.73012,0.67304,0.34766,0.00238,0.1176,0.90328,0.89123,0.91942,0.69033,0.91425,0.91579,0.95047,0.64266,0.89394,0.88397,0.54089,0.00408,0,0.0017327,0.0017327,0.0017327
83,122.575,0.71573,0.66368,0.3458,0.00235,0.06012,0.90328,0.89123,0.91942,0.69033,0.91425,0.91579,0.95047,0.64266,0.89394,0.88397,0.54089,0.00408,0,0.0017294,0.0017294,0.0017294
84,123.973,0.71669,0.74289,0.39404,0.00246,0.20182,0.89163,0.89497,0.91541,0.68109,0.91283,0.91228,0.93819,0.646,0.93041,0.89042,0.56893,0.00434,0,0.0017261,0.0017261,0.0017261
85,125.311,0.70418,0.77982,0.35471,0.00194,0.10014,0.89973,0.86316,0.90097,0.66488,0.91747,0.90877,0.95178,0.65489,0.94849,1.1191,0.60041,0.00472,0,0.0017228,0.0017228,0.0017228
86,127.025,0.75366,0.7957,0.38883,0.00213,0.21809,0.89277,0.87641,0.9031,0.65728,0.93058,0.91579,0.95758,0.66335,0.96506,1.1354,0.64279,0.00485,0,0.0017195,0.0017195,0.0017195
87,128.59,0.79155,0.73147,0.39664,0.00223,0.22155,0.89277,0.87641,0.9031,0.65728,0.93058,0.91579,0.95758,0.66335,0.96506,1.1354,0.64279,0.00485,0,0.0017162,0.0017162,0.0017162
