epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,59.1685,0.71883,0.85085,0.37592,0.00206,0.07655,0.94416,0.88996,0.92667,0.70236,0.9629,0.9108,0.95077,0.59022,0.88476,1.0595,0.46871,0.00401,0,0.0018779,0.0018779,0.0018779
39,60.6541,0.77614,0.76899,0.3619,0.00214,0.13181,0.92363,0.89112,0.91582,0.71882,0.9545,0.92281,0.96188,0.59109,0.75941,1.17844,0.50273,0.00348,0,0.0018746,0.0018746,0.0018746
40,62.24,0.71518,0.74866,0.35407,0.00205,0.07184,0.90143,0.89474,0.91238,0.70679,0.93125,0.92632,0.95941,0.59259,0.82775,1.08789,0.55304,0.00398,0,0.0018713,0.0018713,0.0018713
41,63.7081,0.73861,0.86141,0.38896,0.0021,0.23082,0.90143,0.89474,0.91238,0.70679,0.93125,0.92632,0.95941,0.59259,0.82775,1.08789,0.55304,0.00398,0,0.001868,0.001868,0.001868
42,65.3357,0.72179,0.79157,0.39695,0.00212,0.06678,0.92594,0.89825,0.92331,0.66694,0.9393,0.92305,0.95147,0.59443,1.01099,1.10687,0.56507,0.00515,0,0.0018647,0.0018647,0.0018647
43,66.961,0.81118,0.97833,0.40138,0.00213,0.07364,0.92332,0.88724,0.90308,0.63359,0.94158,0.90479,0.94841,0.60681,1.07928,0.96239,0.65296,0.00531,0,0.0018614,0.0018614,0.0018614
44,68.4554,0.80501,0.82734,0.42609,0.00211,0.07639,0.94244,0.87368,0.9125,0.66312,0.96176,0.89474,0.95497,0.61362,1.0124,1.14786,0.63093,0.00465,0,0.0018581,0.0018581,0.0018581
45,70.0714,0.77634,0.94733,0.37772,0.00199,0.06463,0.94244,0.87368,0.9125,0.66312,0.96176,0.89474,0.95497,0.61362,1.0124,1.14786,0.63093,0.00465,0,0.0018548,0.0018548,0.0018548
46,71.713,0.79841,0.91702,0.40125,0.00191,0.07611,0.93594,0.87149,0.92185,0.70051,0.95101,0.88553,0.95169,0.60637,0.92007,0.96777,0.58629,0.00401,0,0.0018515,0.0018515,0.0018515
47,73.1174,0.77261,0.88839,0.36267,0.00201,0.10648,0.93275,0.87599,0.92292,0.70502,0.94385,0.88471,0.95052,0.59388,0.8972,0.94358,0.52066,0.00402,0,0.0018482,0.0018482,0.0018482
48,74.7769,0.7191,0.76204,0.3333,0.00207,0.06585,0.93275,0.87599,0.92292,0.70502,0.94385,0.88471,0.95052,0.59388,0.8972,0.94358,0.52066,0.00402,0,0.0018449,0.0018449,0.0018449
49,76.3969,0.7097,0.75395,0.35621,0.00198,0.07574,0.9529,0.85187,0.91967,0.70479,0.96468,0.86239,0.95159,0.58689,0.89481,1.0276,0.48092,0.00412,0,0.0018416,0.0018416,0.0018416
50,77.9629,0.65289,0.73345,0.3592,0.002,0.09194,0.89479,0.89825,0.91251,0.70168,0.94915,0.87018,0.94021,0.59046,0.90338,1.01613,0.50643,0.00414,0,0.0018383,0.0018383,0.0018383
51,79.5557,0.68382,0.75501,0.36515,0.00169,0.0649,0.90689,0.88854,0.91735,0.68959,0.96163,0.86316,0.94186,0.59205,0.96958,1.02096,0.53106,0.00442,0,0.001835,0.001835,0.001835
52,81.1284,0.70844,0.78199,0.35736,0.00186,0.13677,0.90689,0.88854,0.91735,0.68959,0.96163,0.86316,0.94186,0.59205,0.96958,1.02096,0.53106,0.00442,0,0.0018317,0.0018317,0.0018317
